DG,PAA LVL2,PAA LVL3,TYPE,Titre/Title,Organisation,Chercheur principal/Principal Investigator,QUESTION, Réponse/Answer,Nb, Texte/Text, Thème/Theme,FY
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,MOU,HIA JWST/FGS Science Support,National Research Council of Canada,"Willott, Chris",Nombre d'expos‚s aux MDIAS/ PUBLIC GNRAL,,1,"The James Webb Space Telescope - The Countdown Is On  / Chris Willott / RASC Victoria AGM, Victoria / November 2017",,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,MOU,Brite Constellation Nanosatellite MISSION,Department of National Defence and the Canadian Forces,"Wade, Gregg",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,S&C,JWST History Project,University of Alberta,"Smith, Robert",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,Astronomie,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,S&C,JWST History Project,University of Alberta,"Smith, Robert",Autres,,2,"The History of Space Astronomy (with focus on JWST), PI, University of Alberta Course Lectures (23/11/2017) and (7/12/2017).",Astronomie,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,S&C,UVIT Science pre-launch and post-launch support,University of Calgary,"Leahy, Denis",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,Astronomie,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,S&C,UVIT Science pre-launch and post-launch support,University of Calgary,"Leahy, Denis",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,2,"1. Supernovae and their remnants/D Leahy/ Australia Telescope National Facility Colloquium/ 2017 April 25
2. Supernovae remnants/D Leahy/ Australian Astronomical Observatory Seminar/ 2017 April 12",Astronomie,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,S&C,Bright Terget Explorer (BRITE) Operations and Engineering support,University of Toronto,"Zee, Robert",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,Astronomie,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.1 - SPACE ASTRONOMY MISSIONS,S&C,Bright Terget Explorer (BRITE) Operations and Engineering support,University of Toronto,"Zee, Robert",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,9,"1	BRIght Target Explorer, une Constellation de 6 nanosatellites	b	A. Moffat	Instrumentation course of L. Drissen, U. Laval	2017
2	Astronomy is looking up	a	A. Moffat	Probus, Huntsville, ONÿ 2017	2017
3	Astronomy is looking up	a	A. Moffat	Vankleek astronomy club	2017
4	eta Carinae: the nearest imposter	b	A.Moffat	CRAQ annual meeting	2017
5	BRITE-Constellation: Nanosatellites for Precision Photometry of Bright Stars	b	G. Wade	3rd COSPAR Symposium: Small Satellites for Space Research. Jeju, Korea	2017
6	BRITE-Constellation: Nanosatellites for Precision Photometry of Bright Stars	b	G. Wade	Colloquium at Uppsala University, Sweden	2017
7	BRITE-Constellation: Nanosatellites for Precision Photometry of Bright Stars	b	G. Wade	Colloquium at RMC, Canada	2017
8	BRITE-Constellation reveals tidal interaction in the doubly-magnetic spectroscopic binary Epsilon Lupiÿ	b	G. Wade	EWASS 2017, Prague, Czechia	2017
9	BRITE-Constellation reveals tidal interaction in the doubly-magnetic spectroscopic binary Epsilon Lupiÿ	b	G. Wade	Contributed presentation, CASCA 2017, Edmonton, Canada	2017",Astronomie,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.2 - PLANETARY MISSIONS,Contrats,OSIRIS-REX Science Support Phase E,York University,"Daly, Michael",Avez-vous produit des PRSENTATIONS cette ann‚e (pour ce projet sp‚cifiquement)?,Oui,,,,2017/2018
EXPL,1.2.2 - EXPLORATION MISSIONS AND TECHNOLOGY,1.2.2.2 - PLANETARY MISSIONS,Contrats,OSIRIS-REX Science Support Phase E,York University,"Daly, Michael",Nombre de CONFRENCES/ SMINAIRES/ ATELIERS,,8,"RECOVERY OF BENNU?S ORIENTATION FOR THE OSIRIS-REX MISSION / E. Mazarico et al. / March 2017 Conference: 48th LPSCAt: The Woodlands, TexasOrdinal: 1989
The OSIRIS-REx Laser Altimeter / M.G. Daly et al./ March 2017 Conference: 48th LPSC
PROCESSING OF ALTIMETER DATA FOR GLOBAL TOPOGRAPHY OF BENNU/ M. Perry et al. / March 2017 Conference: 48th LPSCAt: The Woodlands, Texas Ordinal: 2963
SHAPE MODEL CONSTRUCTION OF BENNU USING THE OSIRIS-REX LASER ALTIMETER (OLA) / J. Seabrook et al. / March 2017 Conference: 48th PSCAt: The Woodlands, Texas Ordinal: 1977
APPLICATION OF STEREOPHOTOCLINOMETRY (SPC) FOR THE OSIRIS-REX MISSION/ J. Weirich et al. / March 2017 Conference: 48th LPSCAt: The Woodlands, TexasOrdinal: 1700
SPCOLA: JOINT TOPOGRAPHY SOLUTIONS OF BENNU FROM LASER ALTIMETRY AND STEREOPHOTOCLINOMETRY/ J.H. Roberts et al. / March 2017
Conference: 48th LPSCAt: The Woodlands, TexasOrdinal: 2060
A STEREOPHOTOCLINOMETRY MODEL OF A PHYSICAL WALL REPRESENTING ASTEROID BENNU / K. Craft et al. / March 2017
Conference: 48th LPSC At: The Woodlands Ordinal: 2564
Lessons learned from OSIRIS-REx autonomous navigation using natural feature tracking/ D. Lorenz et al. / March 2017 / DOI10.1109/AERO.2017.7943684
Conference: 2017 IEEE Aerospace Conference",,2017/2018
